age_group,scenario_name,target,target_end_date,location,value,type,quantile,model_projection_date
18-49,no_change,2 wk ahead inc case,06/12/2021,Kansas,191,quantile,0.025,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Kansas,220,quantile,0.5,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Kansas,254,quantile,0.975,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Kansas,133,quantile,0.025,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Kansas,151,quantile,0.5,05/30/2021
18-49,no_change,3 wk ahead inc case,06/19/2021,Kansas,171,quantile,0.975,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Kansas,89,quantile,0.025,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Kansas,108,quantile,0.5,05/30/2021
18-49,no_change,4 wk ahead inc case,06/26/2021,Kansas,130,quantile,0.975,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Kansas,58,quantile,0.025,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Kansas,76,quantile,0.5,05/30/2021
18-49,no_change,5 wk ahead inc case,07/03/2021,Kansas,102,quantile,0.975,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Kansas,39,quantile,0.025,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Kansas,56,quantile,0.5,05/30/2021
18-49,no_change,6 wk ahead inc case,07/10/2021,Kansas,82,quantile,0.975,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Kentucky,925,quantile,0.025,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Kentucky,1065,quantile,0.5,05/30/2021
18-49,no_change,1 wk ahead inc case,06/05/2021,Kentucky,1226,quantile,0.975,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Kentucky,791,quantile,0.025,05/30/2021
18-49,no_change,2 wk ahead inc case,06/12/2021,Kentucky,872,quantile,0.5,05/30/2021
